time,model_name,total_size
43,S1,17092
46,S1,17092
54,S1,17092
46,S1,17092
53,S1,17092
47,S1,17092
40,S1,17092
46,S1,17092
62,S1,17092
58,S1,17092
47,S1,17092
48,S1,17092
45,S1,17092
75,S1,17092
41,S1,17092
47,S1,17092
49,S1,17092
42,S1,17092
41,S1,17092
44,S1,17092
50,S1,17092
38,S1,17092
82,S1,17092
56,S1,17092
48,S1,17092
81,S1,17092
46,S1,17092
39,S1,17092
46,S1,17092
74,S1,17092
64,S1,17092
66,S1,17092
39,S1,17092
71,S1,17092
41,S1,17092
42,S1,17092
70,S1,17092
47,S1,17092
42,S1,17092
46,S1,17092
49,S1,17092
66,S1,17092
59,S1,17092
43,S1,17092
44,S1,17092
74,S1,17092
52,S1,17092
67,S1,17092
81,S1,17092
63,S1,17092
50,S1,17092
86,S1,17092
74,S1,17092
54,S1,17092
77,S1,17092
49,S1,17092
47,S1,17092
48,S1,17092
26,S1,17092
25,S1,17092
70,S1,17092
76,S1,17092
31,S1,17092
33,S1,17092
45,S1,17092
61,S1,17092
79,S1,17092
77,S1,17092
71,S1,17092
32,S1,17092
33,S1,17092
32,S1,17092
175,S1,17092
33,S1,17092
45,S1,17092
32,S1,17092
31,S1,17092
74,S1,17092
70,S1,17092
48,S1,17092
42,S1,17092
45,S1,17092
80,S1,17092
44,S1,17092
41,S1,17092
71,S1,17092
40,S1,17092
46,S1,17092
66,S1,17092
40,S1,17092
57,S1,17092
55,S1,17092
63,S1,17092
53,S1,17092
65,S1,17092
51,S1,17092
42,S1,17092
59,S1,17092
41,S1,17092
101,S1,17092
83,S1,17092
90,S1,17092
42,S1,17092
68,S1,17092
78,S1,17092
70,S1,17092
51,S1,17092
37,S1,17092
40,S1,17092
43,S1,17092
77,S1,17092
74,S1,17092
43,S1,17092
74,S1,17092
70,S1,17092
56,S1,17092
69,S1,17092
53,S1,17092
75,S1,17092
77,S1,17092
73,S1,17092
32,S1,17092
62,S1,17092
32,S1,17092
34,S1,17092
97,S1,17092
59,S1,17092
41,S1,17092
61,S1,17092
57,S1,17092
39,S1,17092
61,S1,17092
45,S1,17092
57,S1,17092
48,S1,17092
46,S1,17092
44,S1,17092
44,S1,17092
40,S1,17092
40,S1,17092
45,S1,17092
34,S1,17092
41,S1,17092
51,S1,17092
45,S1,17092
48,S1,17092
48,S1,17092
41,S1,17092
55,S1,17092
39,S1,17092
46,S1,17092
49,S1,17092
42,S1,17092
47,S1,17092
42,S1,17092
44,S1,17092
43,S1,17092
47,S1,17092
49,S1,17092
45,S1,17092
49,S1,17092
57,S1,17092
56,S1,17092
34,S1,17092
57,S1,17092
42,S1,17092
42,S1,17092
44,S1,17092
49,S1,17092
47,S1,17092
58,S1,17092
78,S1,17092
47,S1,17092
67,S1,17092
51,S1,17092
44,S1,17092
52,S1,17092
42,S1,17092
51,S1,17092
53,S1,17092
43,S1,17092
59,S1,17092
43,S1,17092
86,S1,17092
44,S1,17092
79,S1,17092
63,S1,17092
46,S1,17092
139,S1,17092
53,S1,17092
66,S1,17092
43,S1,17092
39,S1,17092
63,S1,17092
78,S1,17092
49,S1,17092
38,S1,17092
43,S1,17092
52,S1,17092
79,S1,17092
42,S1,17092
47,S1,17092
43,S1,17092
50,S1,17092
78,S1,17092
55,S1,17092
58,S1,17092
48,S1,17092
46,S1,17092
40,S1,17092
41,S1,17092
76,S1,17092
47,S1,17092
76,S1,17092
56,S1,17092
43,S1,17092
50,S1,17092
42,S1,17092
41,S1,17092
81,S1,17092
109,S1,17092
42,S1,17092
44,S1,17092
40,S1,17092
57,S1,17092
28,S1,17092
46,S1,17092
27,S1,17092
51,S1,17092
67,S1,17092
29,S1,17092
99,S1,17092
44,S1,17092
54,S1,17092
40,S1,17092
48,S1,17092
45,S1,17092
33,S1,17092
76,S1,17092
26,S1,17092
25,S1,17092
26,S1,17092
32,S1,17092
39,S1,17092
79,S1,17092
66,S1,17092
65,S1,17092
47,S1,17092
28,S1,17092
39,S1,17092
39,S1,17092
30,S1,17092
43,S1,17092
55,S1,17092
31,S1,17092
48,S1,17092
43,S1,17092
33,S1,17092
46,S1,17092
31,S1,17092
36,S1,17092
158,S1,17092
41,S1,17092
29,S1,17092
57,S1,17092
46,S1,17092
39,S1,17092
62,S1,17092
68,S1,17092
30,S1,17092
41,S1,17092
34,S1,17092
31,S1,17092
30,S1,17092
52,S1,17092
58,S1,17092
51,S1,17092
30,S1,17092
70,S1,17092
41,S1,17092
49,S1,17092
57,S1,17092
51,S1,17092
42,S1,17092
33,S1,17092
36,S1,17092
54,S1,17092
41,S1,17092
28,S1,17092
62,S1,17092
29,S1,17092
39,S1,17092
67,S1,17092
40,S1,17092
61,S1,17092
94,S1,17092
25,S1,17092
139,S1,17092
47,S1,17092
52,S1,17092
40,S1,17092
44,S1,17092
73,S1,17092
30,S1,17092
50,S1,17092
56,S1,17092
31,S1,17092
57,S1,17092
44,S1,17092
26,S1,17092
36,S1,17092
30,S1,17092
48,S1,17092
36,S1,17092
47,S1,17092
28,S1,17092
42,S1,17092
103,S1,17092
48,S1,17092
38,S1,17092
46,S1,17092
49,S1,17092
46,S1,17092
55,S1,17092
51,S1,17092
48,S1,17092
42,S1,17092
78,S1,17092
59,S1,17092
54,S1,17092
49,S1,17092
39,S1,17092
40,S1,17092
69,S1,17092
62,S1,17092
59,S1,17092
62,S1,17092
53,S1,17092
49,S1,17092
39,S1,17092
42,S1,17092
45,S1,17092
37,S1,17092
44,S1,17092
73,S1,17092
51,S1,17092
49,S1,17092
49,S1,17092
54,S1,17092
54,S1,17092
66,S1,17092
63,S1,17092
70,S1,17092
52,S1,17092
47,S1,17092
53,S1,17092
37,S1,17092
49,S1,17092
48,S1,17092
44,S1,17092
50,S1,17092
32,S1,17092
51,S1,17092
81,S1,17092
56,S1,17092
38,S1,17092
42,S1,17092
74,S1,17092
35,S1,17092
69,S1,17092
39,S1,17092
43,S1,17092
41,S1,17092
36,S1,17092
42,S1,17092
54,S1,17092
55,S1,17092
58,S1,17092
42,S1,17092
53,S1,17092
56,S1,17092
50,S1,17092
45,S1,17092
65,S1,17092
37,S1,17092
37,S1,17092
41,S1,17092
54,S1,17092
50,S1,17092
54,S1,17092
44,S1,17092
62,S1,17092
47,S1,17092
54,S1,17092
51,S1,17092
51,S1,17092
39,S1,17092
46,S1,17092
51,S1,17092
44,S1,17092
46,S1,17092
40,S1,17092
70,S1,17092
56,S1,17092
55,S1,17092
40,S1,17092
42,S1,17092
49,S1,17092
39,S1,17092
46,S1,17092
51,S1,17092
50,S1,17092
43,S1,17092
36,S1,17092
51,S1,17092
34,S1,17092
63,S1,17092
50,S1,17092
47,S1,17092
41,S1,17092
51,S1,17092
34,S1,17092
28,S1,17092
35,S1,17092
53,S1,17092
50,S1,17092
27,S1,17092
51,S1,17092
54,S1,17092
30,S1,17092
50,S1,17092
28,S1,17092
28,S1,17092
49,S1,17092
32,S1,17092
47,S1,17092
48,S1,17092
65,S1,17092
51,S1,17092
45,S1,17092
30,S1,17092
56,S1,17092
43,S1,17092
59,S1,17092
48,S1,17092
28,S1,17092
71,S1,17092
39,S1,17092
81,S1,17092
61,S1,17092
55,S1,17092
46,S1,17092
66,S1,17092
49,S1,17092
59,S1,17092
35,S1,17092
69,S1,17092
67,S1,17092
45,S1,17092
68,S1,17092
74,S1,17092
53,S1,17092
79,S1,17092
28,S1,17092
52,S1,17092
74,S1,17092
64,S1,17092
45,S1,17092
43,S1,17092
122,S1,17092
35,S1,17092
52,S1,17092
43,S1,17092
44,S1,17092
56,S1,17092
53,S1,17092
49,S1,17092
53,S1,17092
45,S1,17092
42,S1,17092
74,S1,17092
53,S1,17092
44,S1,17092
42,S1,17092
39,S1,17092
91,S1,17092
36,S1,17092
32,S1,17092
54,S1,17092
54,S1,17092
30,S1,17092
43,S1,17092
67,S1,17092
33,S1,17092
50,S1,17092
74,S1,17092
48,S1,17092
36,S1,17092
43,S1,17092
41,S1,17092
65,S1,17092
37,S1,17092
43,S1,17092
34,S1,17092
46,S1,17092
62,S1,17092
53,S1,17092
56,S1,17092
51,S1,17092
33,S1,17092
55,S1,17092
80,S1,17092
59,S1,17092
72,S1,17092
42,S1,17092
59,S1,17092
41,S1,17092
43,S1,17092
42,S1,17092
38,S1,17092
72,S1,17092
44,S1,17092
72,S1,17092
50,S1,17092
58,S1,17092
40,S1,17092
66,S1,17092
38,S1,17092
38,S1,17092
39,S1,17092
48,S1,17092
45,S1,17092
42,S1,17092
59,S1,17092
39,S1,17092
43,S1,17092
38,S1,17092
41,S1,17092
38,S1,17092
38,S1,17092
29,S1,17092
41,S1,17092
59,S1,17092
38,S1,17092
46,S1,17092
54,S1,17092
34,S1,17092
58,S1,17092
60,S1,17092
50,S1,17092
43,S1,17092
41,S1,17092
59,S1,17092
49,S1,17092
46,S1,17092
38,S1,17092
80,S1,17092
39,S1,17092
45,S1,17092
41,S1,17092
72,S1,17092
53,S1,17092
60,S1,17092
64,S1,17092
38,S1,17092
58,S1,17092
67,S1,17092
74,S1,17092
55,S1,17092
42,S1,17092
57,S1,17092
40,S1,17092
48,S1,17092
43,S1,17092
37,S1,17092
39,S1,17092
39,S1,17092
36,S1,17092
37,S1,17092
32,S1,17092
38,S1,17092
34,S1,17092
49,S1,17092
63,S1,17092
44,S1,17092
44,S1,17092
59,S1,17092
49,S1,17092
91,S1,17092
79,S1,17092
34,S1,17092
48,S1,17092
44,S1,17092
39,S1,17092
65,S1,17092
30,S1,17092
32,S1,17092
40,S1,17092
35,S1,17092
39,S1,17092
40,S1,17092
37,S1,17092
34,S1,17092
57,S1,17092
54,S1,17092
51,S1,17092
68,S1,17092
64,S1,17092
53,S1,17092
34,S1,17092
40,S1,17092
40,S1,17092
58,S1,17092
51,S1,17092
88,S1,17092
30,S1,17092
49,S1,17092
44,S1,17092
31,S1,17092
31,S1,17092
52,S1,17092
46,S1,17092
39,S1,17092
48,S1,17092
57,S1,17092
57,S1,17092
51,S1,17092
48,S1,17092
34,S1,17092
50,S1,17092
49,S1,17092
48,S1,17092
67,S1,17092
45,S1,17092
43,S1,17092
46,S1,17092
49,S1,17092
44,S1,17092
39,S1,17092
54,S1,17092
39,S1,17092
46,S1,17092
48,S1,17092
34,S1,17092
32,S1,17092
44,S1,17092
41,S1,17092
39,S1,17092
40,S1,17092
47,S1,17092
33,S1,17092
50,S1,17092
44,S1,17092
40,S1,17092
56,S1,17092
43,S1,17092
47,S1,17092
47,S1,17092
38,S1,17092
30,S1,17092
40,S1,17092
37,S1,17092
29,S1,17092
49,S1,17092
27,S1,17092
53,S1,17092
40,S1,17092
46,S1,17092
46,S1,17092
44,S1,17092
41,S1,17092
38,S1,17092
37,S1,17092
32,S1,17092
29,S1,17092
66,S1,17092
50,S1,17092
29,S1,17092
48,S1,17092
44,S1,17092
66,S1,17092
43,S1,17092
53,S1,17092
47,S1,17092
57,S1,17092
46,S1,17092
52,S1,17092
34,S1,17092
50,S1,17092
40,S1,17092
51,S1,17092
49,S1,17092
38,S1,17092
52,S1,17092
35,S1,17092
30,S1,17092
52,S1,17092
43,S1,17092
29,S1,17092
54,S1,17092
47,S1,17092
54,S1,17092
45,S1,17092
55,S1,17092
48,S1,17092
67,S1,17092
64,S1,17092
48,S1,17092
74,S1,17092
42,S1,17092
33,S1,17092
48,S1,17092
42,S1,17092
46,S1,17092
56,S1,17092
71,S1,17092
63,S1,17092
42,S1,17092
48,S1,17092
50,S1,17092
70,S1,17092
53,S1,17092
36,S1,17092
41,S1,17092
56,S1,17092
44,S1,17092
38,S1,17092
48,S1,17092
63,S1,17092
57,S1,17092
54,S1,17092
56,S1,17092
42,S1,17092
28,S1,17092
42,S1,17092
27,S1,17092
25,S1,17092
52,S1,17092
47,S1,17092
62,S1,17092
68,S1,17092
56,S1,17092
58,S1,17092
27,S1,17092
58,S1,17092
44,S1,17092
41,S1,17092
79,S1,17092
41,S1,17092
45,S1,17092
25,S1,17092
36,S1,17092
29,S1,17092
34,S1,17092
26,S1,17092
39,S1,17092
61,S1,17092
33,S1,17092
35,S1,17092
35,S1,17092
42,S1,17092
40,S1,17092
44,S1,17092
33,S1,17092
49,S1,17092
50,S1,17092
29,S1,17092
44,S1,17092
47,S1,17092
25,S1,17092
41,S1,17092
25,S1,17092
60,S1,17092
87,S1,17092
39,S1,17092
57,S1,17092
57,S1,17092
50,S1,17092
417,S1,17092
29,S1,17092
48,S1,17092
61,S1,17092
65,S1,17092
27,S1,17092
45,S1,17092
46,S1,17092
27,S1,17092
41,S1,17092
66,S1,17092
41,S1,17092
28,S1,17092
73,S1,17092
46,S1,17092
39,S1,17092
42,S1,17092
27,S1,17092
28,S1,17092
41,S1,17092
34,S1,17092
26,S1,17092
116,S1,17092
41,S1,17092
54,S1,17092
34,S1,17092
43,S1,17092
41,S1,17092
27,S1,17092
31,S1,17092
34,S1,17092
40,S1,17092
38,S1,17092
46,S1,17092
40,S1,17092
46,S1,17092
33,S1,17092
72,S1,17092
32,S1,17092
26,S1,17092
67,S1,17092
48,S1,17092
33,S1,17092
52,S1,17092
41,S1,17092
40,S1,17092
30,S1,17092
40,S1,17092
51,S1,17092
38,S1,17092
39,S1,17092
26,S1,17092
42,S1,17092
53,S1,17092
62,S1,17092
41,S1,17092
41,S1,17092
63,S1,17092
47,S1,17092
51,S1,17092
28,S1,17092
28,S1,17092
39,S1,17092
71,S1,17092
61,S1,17092
48,S1,17092
48,S1,17092
51,S1,17092
58,S1,17092
62,S1,17092
51,S1,17092
62,S1,17092
29,S1,17092
48,S1,17092
45,S1,17092
63,S1,17092
49,S1,17092
48,S1,17092
47,S1,17092
45,S1,17092
48,S1,17092
58,S1,17092
43,S1,17092
42,S1,17092
71,S1,17092
52,S1,17092
63,S1,17092
34,S1,17092
56,S1,17092
54,S1,17092
48,S1,17092
25,S1,17092
24,S1,17092
46,S1,17092
30,S1,17092
51,S1,17092
61,S1,17092
80,S1,17092
40,S1,17092
26,S1,17092
67,S1,17092
61,S1,17092
73,S1,17092
56,S1,17092
46,S1,17092
49,S1,17092
70,S1,17092
49,S1,17092
43,S1,17092
55,S1,17092
67,S1,17092
29,S1,17092
50,S1,17092
27,S1,17092
48,S1,17092
48,S1,17092
44,S1,17092
39,S1,17092
28,S1,17092
67,S1,17092
61,S1,17092
27,S1,17092
43,S1,17092
50,S1,17092
69,S1,17092
35,S1,17092
54,S1,17092
79,S1,17092
35,S1,17092
49,S1,17092
36,S1,17092
40,S1,17092
46,S1,17092
49,S1,17092
53,S1,17092
28,S1,17092
32,S1,17092
33,S1,17092
29,S1,17092
33,S1,17092
28,S1,17092
32,S1,17092
46,S1,17092
48,S1,17092
66,S1,17092
54,S1,17092
60,S1,17092
25,S1,17092
33,S1,17092
47,S1,17092
29,S1,17092
29,S1,17092
46,S1,17092
41,S1,17092
37,S1,17092
27,S1,17092
35,S1,17092
30,S1,17092
37,S1,17092
57,S1,17092
55,S1,17092
39,S1,17092
55,S1,17092
41,S1,17092
43,S1,17092
50,S1,17092
29,S1,17092
48,S1,17092
45,S1,17092
43,S1,17092
50,S1,17092
78,S1,17092
32,S1,17092
27,S1,17092
25,S1,17092
54,S1,17092
28,S1,17092
30,S1,17092
27,S1,17092
25,S1,17092
43,S1,17092
38,S1,17092
58,S1,17092
26,S1,17092
61,S1,17092
57,S1,17092
32,S1,17092
29,S1,17092
57,S1,17092
31,S1,17092
65,S1,17092
29,S1,17092
33,S1,17092
32,S1,17092
44,S1,17092
60,S1,17092
49,S1,17092
36,S1,17092
29,S1,17092
29,S1,17092
29,S1,17092
158,S1,17092
44,S1,17092
48,S1,17092
37,S1,17092
27,S1,17092
76,S1,17092
43,S1,17092
35,S1,17092
27,S1,17092
45,S1,17092
27,S1,17092
51,S1,17092
40,S1,17092
29,S1,17092
51,S1,17092
71,S1,17092
44,S1,17092
52,S1,17092
60,S1,17092
77,S1,17092
37,S1,17092
113,S1,17092
55,S1,17092
45,S1,17092
44,S1,17092
58,S1,17092
52,S1,17092
56,S1,17092
45,S1,17092
44,S1,17092
54,S1,17092
47,S1,17092
32,S1,17092
32,S1,17092
32,S1,17092
50,S1,17092
47,S1,17092
45,S1,17092
29,S1,17092
207,S1,17092
59,S1,17092
55,S1,17092
59,S1,17092
44,S1,17092
39,S1,17092
46,S1,17092
46,S1,17092
58,S1,17092
63,S1,17092
44,S1,17092
45,S1,17092
46,S1,17092
42,S1,17092
45,S1,17092
40,S1,17092
51,S1,17092
41,S1,17092
40,S1,17092
56,S1,17092
42,S1,17092
41,S1,17092
39,S1,17092
75,S1,17092
49,S1,17092
50,S1,17092
53,S1,17092
40,S1,17092
43,S1,17092
46,S1,17092
46,S1,17092
39,S1,17092
72,S1,17092
44,S1,17092
46,S1,17092
39,S1,17092
37,S1,17092
46,S1,17092
56,S1,17092
47,S1,17092
50,S1,17092
43,S1,17092
32,S1,17092
51,S1,17092
45,S1,17092
61,S1,17092
46,S1,17092
59,S1,17092
53,S1,17092
59,S1,17092
43,S1,17092
30,S1,17092
46,S1,17092
28,S1,17092
46,S1,17092
53,S1,17092
43,S1,17092
57,S1,17092
51,S1,17092
52,S1,17092
77,S1,17092
67,S1,17092
42,S1,17092
43,S1,17092
60,S1,17092
44,S1,17092
50,S1,17092
54,S1,17092
75,S1,17092
47,S1,17092
53,S1,17092
31,S1,17092
28,S1,17092
75,S1,17092
72,S1,17092
26,S1,17092
49,S1,17092
34,S1,17092
59,S1,17092
47,S1,17092
49,S1,17092
58,S1,17092
46,S1,17092
77,S1,17092
58,S1,17092
52,S1,17092
59,S1,17092
71,S1,17092
59,S1,17092
45,S1,17092
63,S1,17092
29,S1,17092
59,S1,17092
43,S1,17092
65,S1,17092
37,S1,17092
56,S1,17092
70,S1,17092
47,S1,17092
29,S1,17092
48,S1,17092
50,S1,17092
26,S1,17092
57,S1,17092
26,S1,17092
52,S1,17092
53,S1,17092
47,S1,17092
46,S1,17092
25,S1,17092
45,S1,17092
49,S1,17092
34,S1,17092
53,S1,17092
47,S1,17092
51,S1,17092
53,S1,17092
28,S1,17092
54,S1,17092
48,S1,17092
50,S1,17092
65,S1,17092
52,S1,17092
48,S1,17092
43,S1,17092
45,S1,17092
57,S1,17092
51,S1,17092
44,S1,17092
59,S1,17092
48,S1,17092
29,S1,17092
25,S1,17092
26,S1,17092
47,S1,17092
47,S1,17092
27,S1,17092
43,S1,17092
25,S1,17092
52,S1,17092
51,S1,17092
44,S1,17092
45,S1,17092
43,S1,17092
43,S1,17092
44,S1,17092
50,S1,17092
39,S1,17092
44,S1,17092
50,S1,17092
41,S1,17092
37,S1,17092
77,S1,17092
55,S1,17092
51,S1,17092
44,S1,17092
41,S1,17092
51,S1,17092
79,S1,17092
40,S1,17092
40,S1,17092
40,S1,17092
55,S1,17092
46,S1,17092
37,S1,17092
54,S1,17092
44,S1,17092
46,S1,17092
40,S1,17092
44,S1,17092
40,S1,17092
54,S1,17092
43,S1,17092
55,S1,17092
60,S1,17092
45,S1,17092
43,S1,17092
51,S1,17092
50,S1,17092
39,S1,17092
49,S1,17092
52,S1,17092
43,S1,17092
63,S1,17092
53,S1,17092
40,S1,17092
41,S1,17092
39,S1,17092
40,S1,17092
52,S1,17092
45,S1,17092
39,S1,17092
50,S1,17092
40,S1,17092
43,S1,17092
43,S1,17092
66,S1,17092
39,S1,17092
44,S1,17092
45,S1,17092
51,S1,17092
47,S1,17092
157,S1,17092
71,S1,17092
45,S1,17092
42,S1,17092
43,S1,17092
42,S1,17092
38,S1,17092
74,S1,17092
38,S1,17092
63,S1,17092
54,S1,17092
34,S1,17092
42,S1,17092
41,S1,17092
35,S1,17092
54,S1,17092
49,S1,17092
39,S1,17092
38,S1,17092
33,S1,17092
28,S1,17092
30,S1,17092
28,S1,17092
40,S1,17092
37,S1,17092
43,S1,17092
37,S1,17092
41,S1,17092
48,S1,17092
41,S1,17092
48,S1,17092
42,S1,17092
51,S1,17092
43,S1,17092
37,S1,17092
40,S1,17092
50,S1,17092
59,S1,17092
54,S1,17092
32,S1,17092
47,S1,17092
40,S1,17092
42,S1,17092
55,S1,17092
31,S1,17092
46,S1,17092
42,S1,17092
43,S1,17092
52,S1,17092
50,S1,17092
52,S1,17092
41,S1,17092
43,S1,17092
48,S1,17092
76,S1,17092
44,S1,17092
64,S1,17092
47,S1,17092
43,S1,17092
44,S1,17092
81,S1,17092
41,S1,17092
40,S1,17092
58,S1,17092
37,S1,17092
38,S1,17092
38,S1,17092
45,S1,17092
43,S1,17092
81,S1,17092
38,S1,17092
47,S1,17092
37,S1,17092
43,S1,17092
35,S1,17092
39,S1,17092
56,S1,17092
39,S1,17092
46,S1,17092
54,S1,17092
40,S1,17092
47,S1,17092
54,S1,17092
54,S1,17092
42,S1,17092
47,S1,17092
49,S1,17092
38,S1,17092
52,S1,17092
79,S1,17092
46,S1,17092
55,S1,17092
39,S1,17092
37,S1,17092
37,S1,17092
62,S1,17092
59,S1,17092
51,S1,17092
102,S1,17092
40,S1,17092
47,S1,17092
31,S1,17092
62,S1,17092
45,S1,17092
30,S1,17092
50,S1,17092
51,S1,17092
36,S1,17092
46,S1,17092
27,S1,17092
65,S1,17092
67,S1,17092
46,S1,17092
50,S1,17092
42,S1,17092
31,S1,17092
61,S1,17092
33,S1,17092
41,S1,17092
54,S1,17092
37,S1,17092
29,S1,17092
58,S1,17092
31,S1,17092
60,S1,17092
62,S1,17092
69,S1,17092
38,S1,17092
59,S1,17092
36,S1,17092
68,S1,17092
67,S1,17092
59,S1,17092
46,S1,17092
48,S1,17092
35,S1,17092
70,S1,17092
67,S1,17092
35,S1,17092
41,S1,17092
52,S1,17092
71,S1,17092
59,S1,17092
61,S1,17092
67,S1,17092
59,S1,17092
57,S1,17092
55,S1,17092
54,S1,17092
69,S1,17092
35,S1,17092
41,S1,17092
31,S1,17092
70,S1,17092
53,S1,17092
61,S1,17092
66,S1,17092
30,S1,17092
44,S1,17092
60,S1,17092
54,S1,17092
32,S1,17092
56,S1,17092
42,S1,17092
39,S1,17092
45,S1,17092
55,S1,17092
47,S1,17092
46,S1,17092
30,S1,17092
87,S1,17092
33,S1,17092
28,S1,17092
64,S1,17092
57,S1,17092
44,S1,17092
26,S1,17092
26,S1,17092
47,S1,17092
71,S1,17092
29,S1,17092
32,S1,17092
39,S1,17092
42,S1,17092
27,S1,17092
50,S1,17092
28,S1,17092
28,S1,17092
43,S1,17092
25,S1,17092
43,S1,17092
69,S1,17092
30,S1,17092
33,S1,17092
73,S1,17092
31,S1,17092
86,S1,17092
29,S1,17092
76,S1,17092
25,S1,17092
26,S1,17092
65,S1,17092
69,S1,17092
62,S1,17092
59,S1,17092
46,S1,17092
41,S1,17092
59,S1,17092
39,S1,17092
44,S1,17092
46,S1,17092
59,S1,17092
68,S1,17092
50,S1,17092
55,S1,17092
56,S1,17092
60,S1,17092
50,S1,17092
56,S1,17092
54,S1,17092
38,S1,17092
40,S1,17092
40,S1,17092
36,S1,17092
43,S1,17092
64,S1,17092
52,S1,17092
42,S1,17092
53,S1,17092
25,S1,17092
30,S1,17092
41,S1,17092
26,S1,17092
44,S1,17092
24,S1,17092
54,S1,17092
39,S1,17092
58,S1,17092
47,S1,17092
59,S1,17092
48,S1,17092
40,S1,17092
39,S1,17092
47,S1,17092
53,S1,17092
46,S1,17092
53,S1,17092
49,S1,17092
30,S1,17092
25,S1,17092
57,S1,17092
48,S1,17092
51,S1,17092
51,S1,17092
26,S1,17092
51,S1,17092
33,S1,17092
65,S1,17092
64,S1,17092
53,S1,17092
31,S1,17092
28,S1,17092
34,S1,17092
32,S1,17092
26,S1,17092
78,S1,17092
64,S1,17092
61,S1,17092
36,S1,17092
31,S1,17092
67,S1,17092
25,S1,17092
28,S1,17092
55,S1,17092
53,S1,17092
31,S1,17092
26,S1,17092
56,S1,17092
50,S1,17092
41,S1,17092
26,S1,17092
31,S1,17092
53,S1,17092
52,S1,17092
28,S1,17092
34,S1,17092
52,S1,17092
64,S1,17092
39,S1,17092
49,S1,17092
39,S1,17092
30,S1,17092
36,S1,17092
28,S1,17092
71,S1,17092
113,S1,17092
110,S1,17092
59,S1,17092
32,S1,17092
59,S1,17092
27,S1,17092
49,S1,17092
94,S1,17092
30,S1,17092
72,S1,17092
58,S1,17092
28,S1,17092
34,S1,17092
25,S1,17092
33,S1,17092
71,S1,17092
30,S1,17092
29,S1,17092
34,S1,17092
26,S1,17092
58,S1,17092
29,S1,17092
30,S1,17092
26,S1,17092
65,S1,17092
53,S1,17092
28,S1,17092
28,S1,17092
34,S1,17092
59,S1,17092
52,S1,17092
65,S1,17092
45,S1,17092
48,S1,17092
26,S1,17092
29,S1,17092
52,S1,17092
48,S1,17092
46,S1,17092
49,S1,17092
46,S1,17092
29,S1,17092
39,S1,17092
38,S1,17092
35,S1,17092
55,S1,17092
72,S1,17092
62,S1,17092
40,S1,17092
57,S1,17092
39,S1,17092
55,S1,17092
31,S1,17092
38,S1,17092
31,S1,17092
32,S1,17092
36,S1,17092
34,S1,17092
35,S1,17092
26,S1,17092
42,S1,17092
28,S1,17092
25,S1,17092
74,S1,17092
39,S1,17092
49,S1,17092
50,S1,17092
60,S1,17092
45,S1,17092
66,S1,17092
52,S1,17092
47,S1,17092
48,S1,17092
52,S1,17092
41,S1,17092
49,S1,17092
47,S1,17092
52,S1,17092
52,S1,17092
43,S1,17092
39,S1,17092
42,S1,17092
39,S1,17092
42,S1,17092
48,S1,17092
53,S1,17092
40,S1,17092
44,S1,17092
52,S1,17092
52,S1,17092
43,S1,17092
43,S1,17092
43,S1,17092
47,S1,17092
77,S1,17092
41,S1,17092
47,S1,17092
40,S1,17092
37,S1,17092
53,S1,17092
45,S1,17092
41,S1,17092
40,S1,17092
41,S1,17092
52,S1,17092
48,S1,17092
54,S1,17092
46,S1,17092
38,S1,17092
45,S1,17092
29,S1,17092
44,S1,17092
42,S1,17092
28,S1,17092
48,S1,17092
41,S1,17092
45,S1,17092
42,S1,17092
37,S1,17092
45,S1,17092
47,S1,17092
57,S1,17092
47,S1,17092
37,S1,17092
45,S1,17092
43,S1,17092
27,S1,17092
51,S1,17092
46,S1,17092
42,S1,17092
30,S1,17092
61,S1,17092
27,S1,17092
42,S1,17092
30,S1,17092
46,S1,17092
40,S1,17092
42,S1,17092
44,S1,17092
53,S1,17092
41,S1,17092
33,S1,17092
39,S1,17092
46,S1,17092
46,S1,17092
27,S1,17092
48,S1,17092
40,S1,17092
43,S1,17092
45,S1,17092
46,S1,17092
26,S1,17092
43,S1,17092
27,S1,17092
27,S1,17092
32,S1,17092
48,S1,17092
65,S1,17092
59,S1,17092
45,S1,17092
60,S1,17092
48,S1,17092
53,S1,17092
36,S1,17092
74,S1,17092
42,S1,17092
79,S1,17092
51,S1,17092
56,S1,17092
41,S1,17092
51,S1,17092
57,S1,17092
26,S1,17092
38,S1,17092
45,S1,17092
48,S1,17092
71,S1,17092
39,S1,17092
28,S1,17092
40,S1,17092
28,S1,17092
47,S1,17092
45,S1,17092
36,S1,17092
33,S1,17092
31,S1,17092
77,S1,17092
37,S1,17092
41,S1,17092
37,S1,17092
70,S1,17092
42,S1,17092
64,S1,17092
40,S1,17092
33,S1,17092
32,S1,17092
34,S1,17092
45,S1,17092
60,S1,17092
30,S1,17092
32,S1,17092
36,S1,17092
41,S1,17092
28,S1,17092
42,S1,17092
28,S1,17092
40,S1,17092
29,S1,17092
40,S1,17092
44,S1,17092
46,S1,17092
41,S1,17092
36,S1,17092
31,S1,17092
32,S1,17092
28,S1,17092
37,S1,17092
33,S1,17092
37,S1,17092
59,S1,17092
45,S1,17092
53,S1,17092
54,S1,17092
53,S1,17092
62,S1,17092
68,S1,17092
52,S1,17092
51,S1,17092
52,S1,17092
43,S1,17092
35,S1,17092
26,S1,17092
31,S1,17092
